character,dialogue,movie
"108 ""THREEPIO"" ""Of course I can, sir.  It's like a second language for me...  I'm as fluent in Bocce...""",,Episode IV
"109 ""OWEN"" ""All right; shut up! I'll take this one.""",,Episode IV
"110 ""THREEPIO"" ""Shutting up, sir.""",,Episode IV
"111 ""OWEN"" ""Luke, take these two over to the garage, will you?  I want you to have both of them cleaned up before dinner.""",,Episode IV
"112 ""LUKE"" ""But I was going into Toshi Station to pick up some power converters...""",,Episode IV
"113 ""OWEN"" ""You can waste time with your friends when your chores are done.  Now, come on, get to it!""",,Episode IV
"114 ""LUKE"" ""All right, come on!  And the red one, come on.  Well, come on, Red, let's go.""",,Episode IV
"115 ""LUKE"" ""Uncle Owen...""",,Episode IV
"116 ""OWEN"" ""Yeah?""",,Episode IV
"117 ""LUKE"" ""This R2 unit has a bad motivator.  Look!""",,Episode IV
"118 ""OWEN"" ""Hey, what're you trying to push on us?""",,Episode IV
"119 ""THREEPIO"" ""Excuse me, sir, but that R2 unit is in prime condition.  A real bargain.""",,Episode IV
"120 ""LUKE"" ""Uncle Owen...""",,Episode IV
"121 ""OWEN"" ""Yeah?""",,Episode IV
"122 ""LUKE"" ""What about that one?""",,Episode IV
"123 ""OWEN"" ""What about that blue one?  We'll take that one.""",,Episode IV
"124 ""LUKE"" ""Yeah, take it away.""",,Episode IV
"125 ""THREEPIO"" ""Uh, I'm quite sure you'll be very pleased with that one, sir.  He really is in first-class condition.  I've worked with him before.  Here he comes.""",,Episode IV
"126 ""LUKE"" ""Okay, let's go.""",,Episode IV
"127 ""THREEPIO"" ""Now, don't forget this!  Why I should stick my neck out for you is quite beyond my capacity!""",,Episode IV
"128 ""THREEPIO"" ""Thank the maker!  This oil bath is going to feel so good.  I've got such a bad case of dust contamination, I can barely move!""",,Episode IV
"129 ""LUKE"" ""It just isn't fair.  Oh, Biggs is right.  I'm never gonna get out of here!""",,Episode IV
"130 ""THREEPIO"" ""Is there anything I might do to help? """,,Episode IV
"131 ""LUKE"" ""Well, not unless you can alter time, speed up the harvest, or teleport me off this rock!""",,Episode IV
"132 ""THREEPIO"" ""I don't think so, sir.  I'm only a droid and not very knowledgeable about such things.  Not on this planet, anyways.  As a matter of fact, I'm not even sure which planet I'm on.""",,Episode IV
"133 ""LUKE"" ""Well, if there's a bright center to the universe, you're on the planet that it's farthest from.""",,Episode IV
"134 ""THREEPIO"" ""I see, sir.""",,Episode IV
"135 ""LUKE"" ""Uh, you can call me Luke.""",,Episode IV
"136 ""THREEPIO"" ""I see, sir Luke.""",,Episode IV
"137 ""LUKE"" ""Just Luke.""",,Episode IV
"138 ""THREEPIO"" ""And I am See-Threepio, human-cyborg relations, and this is my counterpart, Artoo-Detoo.""",,Episode IV
"139 ""LUKE"" ""Hello.""",,Episode IV
"140 ""LUKE"" ""You got a lot of carbon scoring here.  It looks like you boys have seen a lot of action.""",,Episode IV
"141 ""THREEPIO"" ""With all we've been through, sometimes I'm amazed we're in as good condition as we are, what with the Rebellion and all.""",,Episode IV
"142 ""LUKE"" ""You know of the Rebellion against the Empire?""",,Episode IV
"143 ""THREEPIO"" ""That's how we came to be in your service, if you take my meaning, sir.""",,Episode IV
"144 ""LUKE"" ""Have you been in many battles?""",,Episode IV
"145 ""THREEPIO"" ""Several, I think.  Actually, there's not much to tell.  I'm not much more than an interpreter, and not very good at telling stories.  Well, not at making them interesting, anyways.""",,Episode IV
"146 ""LUKE"" ""Well, my little friend, you've got something jammed in here real good.  Were you on a starcruiser or...""",,Episode IV
"147 ""LEIA"" ""Help me, Obi-Wan Kenobi.  You'remy only hope.""",,Episode IV
"148 ""LUKE"" ""What's this?""",,Episode IV
"149 ""THREEPIO"" ""What is what?!?  He asked you a question...What is that?""",,Episode IV
"150 ""LEIA"" ""Help me, Obi-Wan Kenobi.  You're my only hope.  Help me, Obi-Wan Kenobi.  You're my only hope.""",,Episode IV
"151 ""THREEPIO"" ""Oh, he says it's nothing, sir.  Merely a malfunction.  Old data.  Pay it no mind.""",,Episode IV
"152 ""LUKE"" ""Who is she?  She's beautiful.""",,Episode IV
"153 ""THREEPIO"" ""I'm afraid I'm not quite sure, sir.""",,Episode IV
"154 ""LEIA"" ""Help me, Obi-Wan Kenobi...""",,Episode IV
"155 ""THREEPIO"" ""I think she was a passenger on our last voyage.  A person of some importance, sir - I believe.  Our captain was attached to...""",,Episode IV
"156 ""LUKE"" ""Is there more to this recording?""",,Episode IV
"157 ""THREEPIO"" ""Behave yourself, Artoo.  You're going to get us in trouble.  It's all right, you can trust him.  He's our new master.""",,Episode IV
"158 ""THREEPIO"" ""He says he's the property of Obi-Wan Kenobi, a resident of these parts.  And it's a private message for him.  Quite frankly, sir, I don't know what he's talking about.  Our last master was Captain Antilles, but with what we've been through, this little R2 unit has become a bit eccentric.""",,Episode IV
"159 ""LUKE"" ""Obi-Wan Kenobi?  I wonder if he means old Ben Kenobi?""",,Episode IV
"160 ""THREEPIO"" ""I beg your pardon, sir, but do you know what he's talking about?""",,Episode IV
"161 ""LUKE"" ""Well, I don't know anyone named Obi-Wan, but old Ben lives out beyond the dune sea.  He's kind of a strange old hermit.""",,Episode IV
"162 ""LUKE"" ""I wonder who she is.  It sounds like she's in trouble.  I'd better play back the whole thing.""",,Episode IV
"163 ""THREEPIO"" ""He says the restraining bolt has short circuited his recording system.  He suggests that if you remove the bolt, he might be able to play back the entire recording.""",,Episode IV
"164 ""LUKE"" ""H'm?  Oh, yeah, well, I guess you're too small to run away on me if I take this off!  Okay.""",,Episode IV
"165 ""LUKE"" ""There you go.""",,Episode IV
"166 ""LUKE"" ""Well, wait a minute.  Where'd she go?  Bring her back!  Play back the entire message.""",,Episode IV
"167 ""THREEPIO"" ""been playing.  The one you're carrying inside your rusty innards! """,,Episode IV
"168 ""AUNT BERU"" ""Luke?  Luke!  Come to dinner!""",,Episode IV
"169 ""LUKE"" ""All right, I'll be right there, Aunt Beru.""",,Episode IV
"170 ""THREEPIO"" ""I'm sorry, sir, but he appears to have picked up a slight flutter.""",,Episode IV
"171 ""LUKE"" ""Well, see what you can do with him.  I'll be right back.""",,Episode IV
"172 ""THREEPIO"" ""Just you reconsider playing that message for him.""",,Episode IV
"173 ""THREEPIO"" ""No, I don't think he likes you at all.""",,Episode IV
"174 ""THREEPIO"" ""No, I don't like you either.""",,Episode IV
"175 ""LUKE"" ""You know, I think that R2 unit we bought might have been stolen.""",,Episode IV
"176 ""OWEN"" ""What makes you think that?""",,Episode IV
"177 ""LUKE"" ""Well, I stumbled across a recording while I was cleaning him.  He says he belongs to someone called Obi-Wan Kenobi.""",,Episode IV
"178 ""LUKE"" ""I thought he might have meant Ben.  Do you know what he's talking about?  Well, I wonder if he's related to Ben.""",,Episode IV
